"","X","plots","MPB_Green_Percent","MPB_Red_Percent","MPB_Grey_Percent","MPB_Attack_All","class","classed","X2_x_4"
"1",1,"GC1",15,0,10,25,1,2,2
"2",2,"GC2",10.9,0,20.1,31,2,4,2
"3",3,"GC3",2.7,0,8.1,10.8,1,1,1
"4",4,"GC4",49.5,0,13.2,62.7,2,2,3
"5",5,"GC5",13.5,0,16.2,29.7,1,4,2
"6",6,"GC6",47.1,0,41.2,88.3,2,2,3
"7",7,"GC7",56.7,0,10,66.7,2,2,3
"8",8,"GC8",2.6,0,10.5,13.1,1,1,1
"9",9,"WC1",14.9,23,10.8,48.7,2,3,3
"10",10,"WC2",15.5,12.1,17.2,44.8,2,4,3
"11",11,"WC3",9.3,1.3,6.8,17.4,1,1,1
"12",12,"WC4",5.6,13.2,15.1,33.9,2,4,2
"13",13,"WC5",10,2,8,20,1,1,2
"14",14,"RM1",14.3,23.9,0,38.2,2,3,2
"15",15,"RM2",0,16,0,16,1,1,1
"16",16,"RM3",7.4,18.5,0,25.9,1,3,2
"17",17,"RM4",6.7,33.3,13.3,53.3,2,3,3
"18",18,"RM5",0,4.7,4.7,9.4,1,1,1
"19",19,"RM6",18.8,6.3,40.1,65.2,2,4,3
"20",20,"RM7",6.9,10.3,0,17.2,1,1,1
